Topic Title,Replies,Tags,Category,cleaned_title,cleaned_explanation
Card getting declined on international ecommerce transaction,"['Hello everyone, I am new user of Jupiter banking and I tried to place an international e-commerce transaction using my virtual debit card but its getting cancelled every time I try to initiate  itP.s.: I haven’t completed my full video-KYC so maybe that why it is getting cancelled? but I got access to my debit card so wont i be able to perform my online transactions? (Am from India)', 'Hi@The_Rationaliser,did you turn on international transactions in debit card settings, also check the daily limit.', 'Yupp its on and limit is quite high which wont be issue. and although my debit account is active my full video-kyc is left. so this can be the cause of issue?', 'Only Jupiter team can confirm it I guess. Better raise a ticket.', 'Okay i’ll give it a try', 'Also Check with card details entered on the site especially name.From my previous experience, sometimes the middle name needs to be shortened to just a single first letter.', 'The help bot is telling that it was some issue from jupiter’s side but am trying to initiate the transaction from yesterday and facing same problem of card getting declined.', 'You can contact the support team by sending an email to support@jupiter.money or by calling helpline at 08655055086 (available 9am - 9pm).Please provide them with detailed information about the error you encountered, including any error messages or screenshots, if possible. This will help them understand the issue better and provide you with an appropriate solution.']",[],Help,card getting declined international ecommerce transaction,hello everyone new user jupiter banking tried place international ecommerce transaction using virtual debit card getting cancelled every time try initiate itps havent completed full videokyc maybe getting cancelled got access debit card wont able perform online transactions india hidid turn international transactions debit card settings also check daily limit yupp limit quite high wont issue although debit account active full videokyc left cause issue jupiter team confirm guess better raise ticket okay ill give try also check card details entered site especially namefrom previous experience sometimes middle name needs shortened single first letter help bot telling issue jupiters side trying initiate transaction yesterday facing problem card getting declined contact support team sending email supportmoney calling helpline 08655055086 available 9am 9pmplease provide detailed information error encountered including error messages screenshots possible help understand issue better provide appropriate solution
Unable To Make Transactions,"['My account was frozen for Credit transactions for reasons not told to me, but I was allowed to make debit transactions.It’s been more than 2 weeks, I’m not able to make even debit transactions now. All my payments are at hault, and nobody from Jupiter or Federal Bank is taking responsibility.Jupiter said they cannot do anything and gave me a way out by using FedNet net banking services but that also does not work.Nobody even answers why the account was frozen at first place.I need to make very urgent payments. Kindly help at the earliest or I’ll be compelled to write to RBI.', '@Anastsend email to the cyber care team. They will be able to confirm the exact reason for the account getting frozen. If it has been frozen based on a directive received from a law enforcement agency, prepare for a long haul.', 'I’ve written numerous mails to the team but nobody replies or lifts a call on helpline number.', 'Is there way for account closure and transferring the remaining money in an alternative account?', '@AnastI’d recommend you to mail your issue over the mail id mentioned here on this page,Personal Finance, FinTech Updates from Jupiter – 25 Jun 21Contact | JupiterTrying out Jupiter before everyone else? Have an idea that’ll make Jupiter better? Want to join us to make banking nicer? Whatever you got, we’re here to talk.Under assistance']",[],Help,unable make transactions,account frozen credit transactions reasons told allowed make debit transactionsits 2 weeks im able make even debit transactions payments hault nobody jupiter federal bank taking responsibilityjupiter said cannot anything gave way using fednet net banking services also worknobody even answers account frozen first placei need make urgent payments kindly help earliest ill compelled write rbi email cyber care team able confirm exact reason account getting frozen frozen based directive received law enforcement agency prepare long haul ive written numerous mails team nobody replies lifts call helpline number way account closure transferring remaining money alternative account recommend mail issue mail id mentioned pagepersonal finance fintech updates jupiter 25 jun 21contact jupitertrying jupiter everyone else idea thatll make jupiter better want join us make banking nicer whatever got talkunder assistance
Instagram ads payment,"['Can’t I make instagram ad payment through Jupiter visa debit card?@ShawnpintoBecause it’s showing like failed payment is caused by authentication added by the bank.', 'Welcome back to the community@ParineethaDid you enabled the international transactions option from the debit card controls?', 'Yes, it’s enabled', 'OK, I suggest using the chat option within the app for a faster response.Tagging@arp4naand@Nikhil_Godbole@Jitenhope that they can offer a solution or clarification.', 'some international merchants block debit txns and accept only CC txns. it could be one of possible reason for decline', 'Is there any solution?', 'There is dependency on the merchant and payment services they use for processing payments. If they do not support debit card payments, that will be road block.', 'But they do support debit visa card.', '@Parineethain this case, it is highly recommended that you report this to the support team via in the in app chat or support email (support@jupiter.money)']",[],Help,instagram ads payment,cant make instagram ad payment jupiter visa debit card showing like failed payment caused authentication added bank welcome back community enabled international transactions option debit card controls yes enabled ok suggest using chat option within app faster responsetagging offer solution clarification international merchants block debit txns accept cc txns could one possible reason decline solution dependency merchant payment services use processing payments support debit card payments road block support debit visa card case highly recommended report support team via app chat support email supportmoney
Jupiter holding 20000 of my friends money,"['my friend got this sms from jupiter on 7th march 2023Due to an unsolicited credittransaction in your account, ₹20000from your balance is on hold. Toresolve this, please respond tothe email you’ve received frominchargeback@jupiter.moneysomebody sent him 20000 on 2 march 2023. the guy who sent the money called and immediately begged him to send the money back saying he accidentally sent him the money. my friend checked his balance and he was indeed credited with 20000 so he tried to sent the money back but he had just changed phones and had the 5000 transaction limit for 48 hours and soon he sent the full 20000 in 5 transactions of1 x 20001 x 30003 x 5000he had sent the full amount by 4th march 2023to the bank account of the guyhe asked for the guys id before the transfer and the name on the id matched the name on the bank accountright after the unsolicited credit transaction sms came his salary of 8000 came and jupiter took thatwe are both students living and pursuing our education by working two jobs 8000 is a lot of money for uswe have all the transaction screenshots and phonepe chats with the sender and his aadhar card id and account statements.please help us resolve this as soon as possible please.@Shawnpintothank you', 'I went to the nearest federal bank and they informed me that they can’t help me only jupiter can. and they also said normally banks can’t reverse a transaction without the account holders consent. this does not seem to be the case for jupiter “bank”', 'Bank should not refuse to you. Please directly contact with Manager (its important step, don’t skip) .Ask him, are you really can’t do anything in this?If he denied then, it may be push them in trouble for irresponsibility.It may happened because, after Wrong traction that guy may Raised request for chargeback but after receiving money back from you. He not closed that request. And you send money with splited transaction, tgats why bank not able to track that transaction.Did you transacted on same account from where you recieved money? (Its important)Also contacted to that person’s Bank & NPCI UPI (NPCI handels chargeback requests) send proof of chat, And transactions screenshot.And call that person and take statement from him that he recieve his all money and not have any problem.You can also DM me for further help.', 'Maybe that’s happening…', 'Don’t do it again, if you receive money from wrong account, don’t back them self… If the person is unknown… Maybe it’s also a trappedOr if he submits reverse payment… Then you face problem like this…Now contact with Jupiter they’re always helpfulIn future don’t back money youself, just told the person you can’t do anything… Please submit charge back request in your bank.', 'Hello@FahisWe will need to get this checked.Have you connected with our support team yet?', '@Shawnpintoyes he have already contacted the support on the helpline and they said he will get an email from inchargeback@jupiter.money and i can get help only by through that mail. i have mailed them with all the transaction details and screenshots they said  they forwarded my concerns to the remitter bank for further action and it will take atleast if not more than 15 days. i have a doubt what is ment by the remitter bank here , and the 8000 that was took from his account has it already reached in the bank account of the guy who made the chargeback request or is the bank holding it until it gets sorted.', 'i have seen two different officers in bank and both of them talked to the manager and said that federal bank just only provides the  accounts and databases to jupiter and jupiter takes care of the rest so only jupiter can only help me incase of any problems and that normally if i transfer some funds to a wrong account then i can place a complaint in the bank and they will ask for the consent of the account holder that you sent the funds if they can take the money back and if they grant the request only can the bank reverse the transaction. that was not the case here', 'You can put your complain inhttps://pgportal.gov.in/in this website.', 'Not need, he shared story & and Email via DMhe Don’t have problem with managers. They explained him well. Here is only he need to prove His friend that he returned That Person money. And Jupiter will unhold friends money.', 'For fastest solution, it’s could help']",[],Help,jupiter holding 20000 friends money,friend got sms jupiter 7th march 2023due unsolicited credittransaction account 20000from balance hold toresolve please respond tothe email youve received frominchargebackmoneysomebody sent 20000 2 march 2023 guy sent money called immediately begged send money back saying accidentally sent money friend checked balance indeed credited 20000 tried sent money back changed phones 5000 transaction limit 48 hours soon sent full 20000 5 transactions of1 x 20001 x 30003 x 5000he sent full amount 4th march 2023to bank account guyhe asked guys id transfer name id matched name bank accountright unsolicited credit transaction sms came salary 8000 came jupiter took thatwe students living pursuing education working two jobs 8000 lot money uswe transaction screenshots phonepe chats sender aadhar card id account statementsplease help us resolve soon possible please went nearest federal bank informed cant help jupiter also said normally banks cant reverse transaction without account holders consent seem case jupiter bank bank refuse please directly contact manager important step dont skip ask really cant anything thisif denied may push trouble irresponsibilityit may happened wrong traction guy may raised request chargeback receiving money back closed request send money splited transaction tgats bank able track transactiondid transacted account recieved money importantalso contacted persons bank npci upi npci handels chargeback requests send proof chat transactions screenshotand call person take statement recieve money problemyou also dm help maybe thats happening dont receive money wrong account dont back self person unknown maybe also trappedor submits reverse payment face problem like thisnow contact jupiter theyre always helpfulin future dont back money youself told person cant anything please submit charge back request bank hello need get checkedhave connected support team yet already contacted support helpline said get email inchargebackmoney get help mail mailed transaction details screenshots said forwarded concerns remitter bank action take atleast 15 days doubt ment remitter bank 8000 took account already reached bank account guy made chargeback request bank holding gets sorted seen two different officers bank talked manager said federal bank provides accounts databases jupiter jupiter takes care rest jupiter help incase problems normally transfer funds wrong account place complaint bank ask consent account holder sent funds take money back grant request bank reverse transaction case put complain inhttpspgportalgovinin website need shared story email via dmhe dont problem managers explained well need prove friend returned person money jupiter unhold friends money fastest solution could help
Account have been frozen,"['It has been about a month my account was frozen on all debit transactions. I’ve written a mail several times to fraud operations unit as asked to me in the app but no response, I’ve tried calling numerous times but nobody answers. I’ve written to support team and they always ask me to mail and call fraud operations unit only.It’s been about a month all my money is blocked and transactions are at hold and customer service has been very poor.Kindly look into this at the earliest', '@LogeshkumarI am sure this has been frustrating period and experience for you. The community is not equipped with the information or the insight to guide on this. While you have already mentioned that you have been following up with the customer support team, the only way to get the issue resolved is communicate with them and fraud investigation team and ensure you do not hold back any information that can help them resolve this issue for you.', 'How many days it will take to resolve my problem?', '@Logeshkumarin the threads that we have read so far, the resolution of the issue does take time. Like I said, we do not have the insight on the exact details', 'Is there any immediate solution for resolve my problem because I have some money issue', 'You received a mail from Jupiter risk management team, they are asking some details and documents for confirmation.If you give them proper reply ( actual truth) they’ll surely reactivate your account post verification. Then you need to wait 24 hours to debit your all money. Please go for the mail with proper information.NB . Please, don’t use any trick/ bug advantage , if you used the advantage every app block your account, not only case with Jupiter. Don’t abuse their T & C . ( Someday I noticed some people upgrade their account by fake salary transaction, that’s reason why Jupiter block their account , further it’s proved Faule )Their another possibility some people use too much money recieved from merchant app, they use Jupiter as a current account or your account recieved some unauthorised crypto payment .', 'No , I not do any crypto', 'I not receive any mail from Jupiter how can I reply ?', 'I not receive any mail from risk management .In case I received how can I identify that mail ?', 'Search your mailbox, maybe it’s in your promotional or spam box .', 'No bank can frozen yours account without informing you, excludes police case.', 'No, I’m sure I’m not receive any mail', 'I think the email might be fraud@jupiter.money or support@jupiter.money .Not sure if you receive mail from other mail id@Shawnpintocan confirm the mail ID.Have you sent an email to support@jupiter.money ? About this incident?', 'How much money involves here?? in the blocked account', '25000/-', 'Yeah I have already searched I not receive any emails', 'Pls contact support@jupiter.money immediately if not done before.Check if you have received an email from federal Bank too', '25k is a big amountNo point waiting anymoreVisit nearby federal bank branch with necessary documents for enquiry', '@Nikhil_GodboleCan you confirm the email address ? Risk management team', 'fraudoperations@jupiter.moneycybercare@jupiter.moneyThese are the two email id of the dedicated team that deals with account freeze issue.', 'No reply text available']",[],Help,account frozen,month account frozen debit transactions ive written mail several times fraud operations unit asked app response ive tried calling numerous times nobody answers ive written support team always ask mail call fraud operations unit onlyits month money blocked transactions hold customer service poorkindly look earliest sure frustrating period experience community equipped information insight guide already mentioned following customer support team way get issue resolved communicate fraud investigation team ensure hold back information help resolve issue many days take resolve problem threads read far resolution issue take time like said insight exact details immediate solution resolve problem money issue received mail jupiter risk management team asking details documents confirmationif give proper reply actual truth theyll surely reactivate account post verification need wait 24 hours debit money please go mail proper informationnb please dont use trick bug advantage used advantage every app block account case jupiter dont abuse c someday noticed people upgrade account fake salary transaction thats reason jupiter block account proved faule another possibility people use much money recieved merchant app use jupiter current account account recieved unauthorised crypto payment crypto receive mail jupiter reply receive mail risk management case received identify mail search mailbox maybe promotional spam box bank frozen account without informing excludes police case im sure im receive mail think email might fraudmoney supportmoney sure receive mail mail id confirm mail idhave sent email supportmoney incident much money involves blocked account 25000 yeah already searched receive emails pls contact supportmoney immediately done beforecheck received email federal bank 25k big amountno point waiting anymorevisit nearby federal bank branch necessary documents enquiry confirm email address risk management team fraudoperationsmoneycybercaremoneythese two email id dedicated team deals account freeze issue reply text available
More Transaction Details,"['@ShawnpintoCurrently on Clicking Any Transaction kn Transaction detailsgive me a brief detail about transaction such as Ref no. and Name.Whil other Bank shows full details and No.I Received a Anonymous fund and I am unable to identify the payee here.Regards.Bilal', '@Bilal24You should reach out to the support team for this. I know you did mention that you are also facing an issue with the in-app chat function & hence sending them an email will help you get more details about this.', 'BroAlready did but didn’t received Any reply.', 'Perfect. They do take some time to respond. Having said that, I do see the merit in your suggestion in providing a little detail about the transaction.', 'Yes it was Resolved.They said it was by CAMS ( SEBI)they credited by single single Rupee (still don’t know why many times)But me Point still stands , if the transaction were more details like other Banks (Kotak, Sbi ,hdfc ,Paytm)I would not need to ask Support or Raise a ticket just to know who is the payee.RegardsBilal', 'Agree. It can be time consuming. Additional details would help', 'They drop a penny to your account for verification purpose.Btw, your suggestion has a valid point.', 'You could try generating a transaction statement tomorrow and get the full details.', 'Single rupee transaction used for account verification.You can use federal Bank mobile app or net banking for full details, also u can download the statement for full details.', 'Sani I was Using Fednetbanking just the day earlierBut now not able to login due to 2fa.Not receiving otp for netbanking and Federal Bank helpline says ask jupiter but I am using federal banking.', 'And when we ask Jupiter for help regarding netbanking. They say we do not support netbanking.', 'Manish, the feature is live. If you are facing an issue, please report it via email (will not mention chat as I know you are facing issues with it)', 'Net banking supported now', 'There was some linking problem maybe, fed mobile app saying no email is linked but Jupiter showing email ID already linked.Keep trying if anytime success, just off the 2fA', 'thanks', 'Have you unknowingly enabled app based OTP (Totp ).', 'Maybe but my Question is who will resolve this', 'Bilal, if this issue with an account number which was originally opened with Federal Bank, then it should be Federal Bank that needs to help you fix it.', 'Have you tried federal Bank customer care?Couldn’t find any proper customer contact info, try this one. I am sure internet banking problems of federal Bank should be resolved with federal Bank customer care itself.https://www.fednetbank.com/contact_us.htm', 'I called on federal bank customer care no.they asked to contact jupiter. (refer my above replies)', 'No reply text available']",[],Feedback & Ideas,transaction details,clicking transaction kn transaction detailsgive brief detail transaction ref namewhil bank shows full details noi received anonymous fund unable identify payee hereregardsbilal reach support team know mention also facing issue inapp chat function hence sending email help get details broalready didnt received reply perfect take time respond said see merit suggestion providing little detail transaction yes resolvedthey said cams sebithey credited single single rupee still dont know many timesbut point still stands transaction details like banks kotak sbi hdfc paytmi would need ask support raise ticket know payeeregardsbilal agree time consuming additional details would help drop penny account verification purposebtw suggestion valid point could try generating transaction statement tomorrow get full details single rupee transaction used account verificationyou use federal bank mobile app net banking full details also u download statement full details sani using fednetbanking day earlierbut able login due 2fanot receiving otp netbanking federal bank helpline says ask jupiter using federal banking ask jupiter help regarding netbanking say support netbanking manish feature live facing issue please report via email mention chat know facing issues net banking supported linking problem maybe fed mobile app saying email linked jupiter showing email id already linkedkeep trying anytime success 2fa thanks unknowingly enabled app based otp totp maybe question resolve bilal issue account number originally opened federal bank federal bank needs help fix tried federal bank customer carecouldnt find proper customer contact info try one sure internet banking problems federal bank resolved federal bank customer care itselfhttpswwwfednetbankcomcontactushtm called federal bank customer care nothey asked contact jupiter refer replies reply text available
Share Your Online Fraud & Refund Struggle💻💸💪,"['Dear Community Members,We all have had experiences with online fraudor refund issuesthat left us feeling frustratedand helpless. At times, it feels like we are fighting the battle alone. That’s why we wanted to start this discussion on “Banking Fight: Protect Your Finances.”Have you ever had an issue with online fraudor a refund that you struggled to resolve? How did your bank handle the situation? Did you feel supported and guided through the process, or were you left to fend for yourself?We want to hear your stories and experiences. By sharing them, we hope to create a sense of community and support for one another. Maybe, together, we can find solutions and push for better support from banks.So, let’s start the conversation. Share your experiences, offer advice, and let’s see how we can support each other in this fight.Best regards,The Community Team', 'One time I got a call from a person who was telling me that he talking from head office of kotak and saying you kyc and this or that hasn’t been completed or what’s so ever and he asked my debit card number and cvv and at that time i know this is a scam and fraud i starred acting that I’m worried about my account i ask him to give me few minutes so I can take out my debit card and i started playing with that scammer although I tell him wrong number and cvv of debit card and i was playing with him ten my small brother said a slang to that scammer then he realised that we are messing with him and then he started causing us and cut the phone although i don’t ever have any fraud and scam till now and i will hope that no one face this scammer problem ever so stay safe while using the internet', 'I got Scammed with 1000Rs in Lockdown with one of website who was useing MLM Network Systems they pay daily high amount to Customer for 8 to 9 days for gaining trust. Then after collecting High amounts they Run or close thier website..But after i get known their trick and start using website only for intial 4 days then withdraw money. I earned nearly 2000rs from them\u200b:joy:.', 'In April 2023, I received a message on WhatsApp from someone offering an online job promoting e-commerce product reviews. They asked me to buy the products and review them, promising that the product amount and a commission would be added to my account.They continued to add high-value products, and during that time, I was not thinking clearly and ended up giving around ₹615,800. They then increased the product value to ₹1.3 million and asked me to complete the task to withdraw the money, which I couldn’t do.The scammers used the name of a known e-commerce company, OnBuy (an England-based company), to deceive people. When I realized I had been scammed, I immediately contacted the OnBuy social media team, who confirmed that it was a fake website and assured me they would report it.Without informing the scammers that I was aware of the scam, I immediately filed a complaint with my bank and the cybercrime department and also visited my bank branch. The bank’s assistant manager confirmed that the scammers’ accounts were frozen and that the money was still there.Despite this, I received no positive response from the bank for a chargeback. I escalated the matter to the RBI, but their team showed little interest in resolving the issue and focused only on closing the ticket.I have emailed the bank’s CEO, but their senior management keeps telling me to follow up with the cybercrime team and that they will only proceed once they receive an update from them. Since then, I have been continuously following up with the cybercrime team, but the person handling my case often claims to be busy and is now not even responding.The RBI states that any scam reported to the bank within 24-48 hours will result in a refund, but I believe this is false because no one is helping, and I am still paying EMIs on the amount I borrowed.I don’t know how or when I will get my money back. If anyone knows a way to resolve this, please suggest a solution that does not require any additional money, as I have exhausted all my savings.I live with my parents in a rented house, and my salary is not sufficient. I am in a very bad situation right now.']",[],General,share online fraud refund struggle,dear community memberswe experiences online fraudor refund issuesthat left us feeling frustratedand helpless times feels like fighting battle alone thats wanted start discussion banking fight protect financeshave ever issue online fraudor refund struggled resolve bank handle situation feel supported guided process left fend yourselfwe want hear stories experiences sharing hope create sense community support one another maybe together find solutions push better support banksso lets start conversation share experiences offer advice lets see support fightbest regardsthe community team one time got call person telling talking head office kotak saying kyc hasnt completed whats ever asked debit card number cvv time know scam fraud starred acting im worried account ask give minutes take debit card started playing scammer although tell wrong number cvv debit card playing ten small brother said slang scammer realised messing started causing us cut phone although dont ever fraud scam till hope one face scammer problem ever stay safe using internet got scammed 1000rs lockdown one website useing mlm network systems pay daily high amount customer 8 9 days gaining trust collecting high amounts run close thier websitebut get known trick start using website intial 4 days withdraw money earned nearly 2000rs themu200bjoy april 2023 received message whatsapp someone offering online job promoting ecommerce product reviews asked buy products review promising product amount commission would added accountthey continued add highvalue products time thinking clearly ended giving around 615800 increased product value 13 million asked complete task withdraw money couldnt dothe scammers used name known ecommerce company onbuy englandbased company deceive people realized scammed immediately contacted onbuy social media team confirmed fake website assured would report itwithout informing scammers aware scam immediately filed complaint bank cybercrime department also visited bank branch banks assistant manager confirmed scammers accounts frozen money still theredespite received positive response bank chargeback escalated matter rbi team showed little interest resolving issue focused closing ticketi emailed banks ceo senior management keeps telling follow cybercrime team proceed receive update since continuously following cybercrime team person handling case often claims busy even respondingthe rbi states scam reported bank within 2448 hours result refund believe false one helping still paying emis amount borrowedi dont know get money back anyone knows way resolve please suggest solution require additional money exhausted savingsi live parents rented house salary sufficient bad situation right
Salary Pro Account,"['My Salary was credited a week ago but the status still shows “it takes upto to 48 hours to verify”. It’s both funny and annoying. Can you please convert my account to salary account@Ankit_Misra@JupiterTeam?Screenshot_20221025-114039_Jupiter1080×2400 155 KBScreenshot_20221025-114105_Jupiter1080×223 13.8 KB', '@NamithaBetter you send a mail to support team. Same thing happened to me. After mail it got updated after couple of days.', '@niranjan_kumarthanks! Just did.', 'This is done. It’s been converted into a pro salary account.', 'This topic was automatically closed 24 hours after the last reply. New replies are no longer allowed.']",[],Bug hunters,salary pro account,salary credited week ago status still shows takes upto 48 hours verify funny annoying please convert account salary accountscreenshot20221025114039jupiter10802400 155 kbscreenshot20221025114105jupiter1080223 138 kb send mail support team thing happened mail got updated couple days done converted pro salary account topic automatically closed 24 hours last reply new replies longer allowed
My account has been freezed without any reason,"['Name-Gurjit Singh SidhuDear Sir/Madam,My account has been blocked without any reason please look into it and resolve the issue as soon as possible.I am unable to withdraw any money from my account.Please do the needful at the earliest.', 'Hi@GURJIT_SINGH_SIDHU, first and foremost, please edit your original message and remove your account# and phone#Also, in case of account blocking, the community will be of little help here as we do not have visibility on the reasons for the blocking and the steps associated with it. In these cases, the only way to resolve this issue as soon as possible is to be in touch with the Jupiter support team. Also, keep an eye out for an email from the Jupiter investigations team, and provide the smallest little detail that they have requested. This will ensure the account review does not get delayed', 'Thank you for the help I have removed my number and the account number but unfortunately I am going through this issue and it’s really painful when your hard earned money stucks', 'No worries bro. I can understand your feeling.Losing your hard earned money. just go through the official support platform like yagnesh pointed out. They will guide you through the procedures.', 'Yes right now I have received a call about the verification and the verification has been completed and my account will get unfrozen within 48 hours.Thank you so much for the support', 'Thanks for replying. Usually nobody posts in the community when it gets unblocked', '@GURJIT_SINGH_SIDHUcan please mark the thread as resolved?', 'This topic was automatically closed 24 hours after the last reply. New replies are no longer allowed.']",[],Help,account freezed without reason,namegurjit singh sidhudear sirmadammy account blocked without reason please look resolve issue soon possiblei unable withdraw money accountplease needful earliest hi first foremost please edit original message remove account phonealso case account blocking community little help visibility reasons blocking steps associated cases way resolve issue soon possible touch jupiter support team also keep eye email jupiter investigations team provide smallest little detail requested ensure account review get delayed thank help removed number account number unfortunately going issue really painful hard earned money stucks worries bro understand feelinglosing hard earned money go official support platform like yagnesh pointed guide procedures yes right received call verification verification completed account get unfrozen within 48 hoursthank much support thanks replying usually nobody posts community gets unblocked please mark thread resolved topic automatically closed 24 hours last reply new replies longer allowed
My account is still blocked,"['@shawnpintoMy account is blocked and I am waiting from last two months. I contacted customer support multiple times but instead of providing any resolution to my issue they are saying to open account in another bank. If I opened an account with you then I want to use it. Why your team is behaving like this. I am agree to provide clarifications. I think your team should give the appropriate reason for account blocking which give me satisfaction.', 'Have you send your request to unblock, to support@jupiter.money by attaching all the necessary details?', 'What is the reason for account block?P2P crypto transactions?', 'Narendra, I am sure you would have received an email seeking details about transactions that have been flagged and explanation would have been sought. Did you receive a response to your submission?', 'Sent it 2 months ago and called them multiple times.', 'No, there is not any suspicious transaction in my understanding. even though I will share the statement here.', 'Yes, I sent the reply right then.', 'Perfect. Have you received a response from the team giving you their findings. If yes, then, it is recommended you reach out to Shawn via DM and share the details. This will allow him to get you connected to the right team.', '@hereIMG_20230429_1718151240×1755 403 KBIMG_20230429_1721271240×1755 483 KB@ShawnpintoI don’t think I did any suspicious transaction. But your team told me that there is an issue in my onboarding process but tbh everything was correct and my vkyc was also successfully verified. I received two mail from Jupiter Fraudoperations . There was notification about account frozen in first mail and in second mail it was written ‘We have completed our investigation and have granted you partial access to your Jupiter Federal Account.’This was my first bank account and I don’t want it to be frozen.', 'If you have any doubt, you can do my physical verification or I can get my video KYC done again. But replying ‘my account is blocked due to suspicious activity , I should open an account in another bank’ is not a satisfactory reply from your team. This behaviour is not tolerable.If you don’t want to unfreeze my account then that’s fine but at least tell me what is the exact reason for blocking the account.If you think I am a terrorist or a robber, then take legal action, I will answer them myself, but is it right to ask to open an account in another bank without giving any reason or solution like this?You have taken all my personal details then opened my account and again I have proved myself after that you have successfully done my video KYC verified then what can be suspicious in my onboarding process. To my knowledge, there is no such transaction which I have found suspicious. If so, please tell me what is the definite reason. You are not keeping any transparency with me about my account then where will I get transparency about it.', '@Shawnpintohelp him.', 'We understand that you are a little bit frustrated because of such kind of replies from customer care, but don’t worry you came to a correct place.@Shawnpintowill surely help you. I don’t think you are supposed to upload your bank statements here.', 'These are some mails that I sent to the Jupiter team.IMG_20230429_190235720×1248 147 KBI told Shawnpinto about it too.IMG_20230429_190613720×1434 131 KBBut my issue was never resolved.IMG_20230429_190846720×1541 136 KBAlso on Twitter. Never got resolution.IMG_20230429_191328720×1428 207 KB', ""“Please be assured that our team is looking into your matter on priority”And its two months now.I am wondering, If this is the situation of priority cases, what would be the delay for normal cases?An addition to the topic created by@kirankiran10333Things don't like in JupiterFeedback & IdeasWhat are the things you don’t like in Jupiter, so that Jupiter team can change their ways . In my opinion, \nTakes more time to fix a bug / to introduce a feature, if I send an email they will call me instead of replying to that email, even for a small query/information. \nMention if you feel any."", 'It has been two months, but no update yet. Jupiter totally restricted your account? or just credit/debit freeze since from two months.@Narendra_Saini', 'We understand how frustrating it must be for you to have your account frozen. I’m surprised to hear that the team has been unable to assist you in unfreezing your account over the past two months.', 'this is the same reason i am also anxious about i have seen a ton of similar posts on twitter random freezing of accounts is a very concerning thing and people are always keeping their hard earned money in banks .this types of things decrease trust among users.', 'Do Neo banks have any more rules than traditional banks? Else, why they are doing this kind of things?', 'Agreed. The recent incidents of sudden account frozen have left me feeling extremely anxious about keeping large sums of money in my account.', 'i am also anxious about maintaining 10k (nrv for pro membership ) now.', 'No reply text available']",[],Help,account still blocked,account blocked waiting last two months contacted customer support multiple times instead providing resolution issue saying open account another bank opened account want use team behaving like agree provide clarifications think team give appropriate reason account blocking give satisfaction send request unblock supportmoney attaching necessary details reason account blockp2p crypto transactions narendra sure would received email seeking details transactions flagged explanation would sought receive response submission sent 2 months ago called multiple times suspicious transaction understanding even though share statement yes sent reply right perfect received response team giving findings yes recommended reach shawn via dm share details allow get connected right team 403 kbimg2023042917212712401755 483 kb dont think suspicious transaction team told issue onboarding process tbh everything correct vkyc also successfully verified received two mail jupiter fraudoperations notification account frozen first mail second mail written completed investigation granted partial access jupiter federal accountthis first bank account dont want frozen doubt physical verification get video kyc done replying account blocked due suspicious activity open account another bank satisfactory reply team behaviour tolerableif dont want unfreeze account thats fine least tell exact reason blocking accountif think terrorist robber take legal action answer right ask open account another bank without giving reason solution like thisyou taken personal details opened account proved successfully done video kyc verified suspicious onboarding process knowledge transaction found suspicious please tell definite reason keeping transparency account get transparency understand little bit frustrated kind replies customer care dont worry came correct place surely help dont think supposed upload bank statements mails sent jupiter teamimg202304291902357201248 147 kbi told shawnpinto tooimg202304291906137201434 131 kbbut issue never resolvedimg202304291908467201541 136 kbalso twitter never got resolutionimg202304291913287201428 207 kb please assured team looking matter priorityand two months nowi wondering situation priority cases would delay normal casesan addition topic created dont like jupiterfeedback ideaswhat things dont like jupiter jupiter team change ways opinion ntakes time fix bug introduce feature send email call instead replying email even small queryinformation nmention feel two months update yet jupiter totally restricted account creditdebit freeze since two months understand frustrating must account frozen im surprised hear team unable assist unfreezing account past two months reason also anxious seen ton similar posts twitter random freezing accounts concerning thing people always keeping hard earned money banks types things decrease trust among users neo banks rules traditional banks else kind things agreed recent incidents sudden account frozen left feeling extremely anxious keeping large sums money account also anxious maintaining 10k nrv pro membership reply text available
